#{"t_start": 1764660792.2446072, "env_id": "None"}
r,l,t
-222.0,256,330.768726
-218.0,256,330.76878
-216.0,256,330.940828
-205.0,256,331.282672
-153.52814,200,331.488139
-228.0,256,331.543501
-196.0,256,331.595596
0.99804497,2,331.651294
-236.0,256,332.155185
-108.70986,128,332.271945
-0.98821175,7,332.511971
-219.0,256,332.658095
-234.0,256,333.128416
-187.0,256,333.192317
-217.0,256,333.305081
-0.98623335,8,333.445561
-42.166145,79,333.533834
-211.0,256,334.146194
-194.0,256,334.671077
-198.0,256,334.715693
-161.9116,255,334.849437
-19.910013,45,334.9013
-206.0,256,335.048322
-212.0,256,335.508275
-191.0,256,336.058032
-226.0,256,336.212016
-179.0,256,336.29777
-229.0,256,336.46426
-199.0,256,336.543525
-210.0,256,337.18263
-208.0,256,337.252918
0.98623335,8,337.432221
-218.0,256,337.52505
-212.0,256,337.663439
-187.0,256,337.838578
-210.0,256,337.953922
-213.0,256,338.505328
-232.0,256,338.806389
-228.0,256,338.954514
-229.0,256,338.954584
-217.0,256,339.442324
-209.0,256,339.667544
-235.0,256,339.745562
-239.0,256,339.795284
-206.0,256,340.29348
-201.0,256,340.592821
-69.79794,94,340.643921
-207.0,256,340.758607
-229.0,256,341.196419
-214.0,256,341.386192
-214.0,256,341.511187
0.9822646,10,370.53406
-191.0,256,370.878326
-19.105137,52,370.963445
-234.0,256,371.429335
-218.0,256,371.476153
-221.0,256,371.615465
-227.0,256,371.663585
-169.0,256,371.79777
-230.0,256,372.246455
-102.615555,160,372.589563
-203.0,256,372.802712
-207.0,256,372.935426
-205.0,256,373.01327
-224.0,256,373.169781
-197.0,256,373.240906
-201.0,256,373.863276
-193.0,256,374.041114
-234.0,256,374.138193
-57.173203,82,374.245764
-206.0,256,374.431516
-204.0,256,374.544192
0.9702609,16,374.5913
-150.47336,186,374.730298
-213.0,256,375.101814
-0.9478594,27,375.354317
-187.0,256,375.408365
-197.0,256,375.538742
0.9722718,15,375.587243
-185.29974,234,375.587315
-211.0,256,376.02018
-212.0,256,376.269847
-180.0,256,376.317142
-204.0,256,377.071791
-227.0,256,377.213456
-77.0,103,377.368613
-206.0,256,377.67234
-222.0,256,377.847191
-189.0,256,378.209045
-197.0,256,378.536204
-199.0,256,378.613009
0.9722718,15,378.662673
-159.59496,215,379.034926
0.9762812,13,379.034978
-0.97427857,14,379.11387
-175.0,256,379.199756
-233.0,256,379.252855
-211.0,256,379.386444
-201.0,256,379.42239
-0.9802742,11,379.466177
-0.9822646,10,379.588136
0.98623335,8,379.82368
-214.0,256,380.028478
-176.48842,190,380.334321
-181.0,256,380.560204
-212.0,256,380.690634
-199.0,256,380.757184
-0.99412334,4,380.892859
-204.0,256,380.932328
-0.96217525,20,380.966805
-177.0,256,380.995563
-0.99412334,4,381.067384
-0.03985678,21,381.372506
-163.0,256,381.700411
-222.0,256,381.970481
-0.98623335,8,382.209733
-181.0,256,382.250064
-0.013766635,8,382.454141
-178.0,256,382.48978
-92.234535,107,382.730395
-220.0,256,383.104043
-182.0,256,383.14731
-184.0,256,383.262912
-200.0,256,383.311891
-203.0,256,383.31194
0.98425096,9,383.417024
-0.99215674,5,383.490426
-197.0,256,383.792567
0.9722718,15,383.897057
-112.4375,208,384.060728
-207.0,256,384.12204
-205.0,256,384.171881
-145.32475,230,384.487919
0.97827977,12,384.543609
-164.0,256,384.979107
0.96420306,19,385.07929
-174.0,256,385.129627
-50.140766,68,385.497098
0.9702609,16,385.637224
-87.68179,138,385.686567
-214.0,256,385.830243
0.9822646,10,385.880672
0.9762812,13,386.20856
0.99608606,3,386.292684
-208.0,256,386.561509
-161.69382,233,386.612423
-212.0,256,387.013425
-238.0,256,387.089565
-184.0,256,387.172154
-223.0,256,387.370589
-229.0,256,387.733094
-161.0,256,387.957514
-226.0,256,388.463604
-26.920683,40,388.538628
-206.0,256,388.787256
-200.0,256,388.866939
-195.0,256,388.91853
-203.0,256,388.99702
-193.0,256,389.607968
-162.0,256,390.115383
-185.77466,244,390.250032
-159.0,256,390.348236
-204.0,256,390.387934
-206.0,256,391.026638
-221.0,256,391.162035
-179.0,256,391.364168
-0.025721421,14,391.50317
-196.0,256,391.691851
-231.0,256,391.788534
-209.0,256,391.944982
-198.0884,255,391.99685
-229.0,256,392.323334
-138.54126,182,392.632919
-183.0,256,392.816824
-170.0,256,392.91671
-216.0,256,393.360747
-215.0,256,393.40098
-191.0,256,393.572183
-1.9742786,14,393.820913
-229.0,256,394.028404
-212.0,256,394.302899
-225.0,256,394.342957
-204.0,256,394.72299
-186.0,256,394.848427
-126.41038,168,395.274829
-181.0,256,395.436671
-179.0,256,395.646392
-169.0,256,396.129491
-193.0,256,396.197627
0.98821175,7,396.344278
-205.0,256,396.452378
-188.0,256,396.529434
-200.0,256,396.586111
-220.0,256,396.664286
-0.97427857,14,397.014846
-159.48412,197,397.114027
0.99412334,4,397.255181
-222.0,256,397.331182
-208.0,256,397.867049
-134.59496,215,398.005607
-194.0,256,398.110083
-188.0,256,398.162817
0.99608606,3,398.239693
-120.4137,169,398.584907
-119.60918,162,398.754902
0.98425096,9,398.861249
-18.077198,39,399.11379
-187.0,256,399.186376
-186.0,256,399.487435
-220.0,256,399.592943
-196.0,256,399.752061
-191.0,256,399.805465
-207.0,256,400.125627
-216.0,256,400.420322
-204.0,256,400.592194
-187.0,256,400.704029
-217.0,256,401.338973
-196.0,256,401.759072
-0.9540211,24,402.028058
-222.0,256,402.072216
-187.0,256,402.120109
-205.0,256,402.535
-225.0,256,402.65832
-147.0,256,403.060446
-227.0,256,403.218706
-0.98623335,8,403.329496
-188.0,256,403.471311
-192.0,256,404.024096
-208.0,256,404.16946
-185.0,256,404.271527
-178.0,256,404.352373
-219.0,256,404.453852
-216.0,256,404.785978
-210.0,256,404.99167
-227.0,256,405.061546
-39.826797,82,405.136885
-219.0,256,405.69145
-204.0,256,405.814384
-231.0,256,405.884795
-0.9702609,16,406.369195
-168.0,256,406.452456
-199.0,256,406.557679
0.9822646,10,406.702909
-192.0,256,406.793944
-167.55367,206,406.87154
-207.0,256,406.871614
0.98623335,8,407.117319
-183.0,256,407.188128
-213.0,256,407.294128
-224.0,256,407.450293
-215.0,256,407.502242
-181.0,256,407.825074
0.9702609,16,407.939008
-203.0,256,408.119244
-186.0,256,408.297247
-0.97827977,12,408.627877
-182.0,256,409.386392
-199.0,256,409.627278
-208.0,256,409.674367
-211.0,256,409.723139
-45.175568,83,410.157811
-216.0,256,410.157882
-0.9722718,15,410.586265
-206.0,256,410.812371
-196.0,256,410.911179
-195.0,256,411.035128
-184.0,256,411.59189
-38.859234,68,411.664934
-197.0,256,411.777524
-189.0,256,411.88808
-207.0,256,411.966726
-214.0,256,412.067598
0.98425096,9,412.33582
-187.0,256,412.44331
-224.0,256,412.657779
-212.0,256,412.738278
-229.0,256,412.817252
-182.0,256,413.411241
-209.0,256,413.546314
-1.984251,9,413.70849
-207.0,256,414.113383
-189.0,256,414.207418
-163.84691,251,414.361073
-206.0,256,414.361148
-201.0,256,414.464833
-213.0,256,414.752831
-33.085705,43,414.823166
-204.0,256,414.823216
-174.0,256,414.923089
-176.0,256,415.108189
-200.0,256,415.518853
-195.0,256,415.726652
-223.0,256,416.192293
-17.064585,33,416.596021
-193.0,256,416.990417
-186.0,256,417.294694
-238.0,256,417.339238
-206.0,256,417.756038
0.96824586,17,417.86612
-121.47709,187,417.973405
-221.0,256,418.255018
-0.9702609,16,418.301267
-214.0,256,418.526234
-229.0,256,418.635658
-207.0,256,418.775194
-190.0,256,419.313575
-201.0,256,419.387611
-203.0,256,419.497139
-217.0,256,419.606228
-230.0,256,419.683273
-204.0,256,420.038183
-229.0,256,420.327317
-201.0,256,420.404855
-185.0,256,420.475253
-65.80768,90,421.201446
-222.0,256,421.274317
-173.53648,202,421.520148
-179.0,256,421.699822
-205.0,256,421.783877
-210.0,256,421.928333
-183.0,256,421.928386
-220.0,256,422.028649
-197.0,256,422.314142
-209.0,256,422.385347
-213.0,256,422.385393
-183.0,256,422.498722
-200.0,256,422.69556
-202.0,256,423.766426
-159.9116,255,424.187827
-214.0,256,424.602182
-208.0,256,424.899827
-199.0,256,480.616895
-195.0,256,480.703633
-204.0,256,480.939759
-232.0,256,480.986355
-117.60918,162,481.147681
-192.0,256,481.305692
-212.0,256,481.438564
-190.0,256,481.996224
-192.0,256,482.070802
-193.0,256,482.170017
-163.0,256,482.262305
-105.39404,163,482.335065
-177.0,256,482.335118
-209.0,256,482.704497
-214.0,256,482.993209
-201.0,256,483.069962
-207.0,256,483.144861
-206.0,256,483.84503
-211.0,256,484.130858
0.9802742,11,484.178696
-206.0,256,484.377014
-219.0,256,484.483139
-199.0,256,484.653198
-208.0,256,484.653248
-176.0,256,484.753796
-204.0,256,485.018911
-160.0,256,485.076311
-209.0,256,485.162698
-209.0,256,485.352511
-133.47708,187,485.352566
-149.53033,185,485.595265
-52.870525,63,486.036069
-110.68179,138,486.111945
-109.329765,142,486.465968
-198.0,256,486.466022
-100.65848,146,486.53586
-199.0,256,486.859868
-172.0,256,511.741371
-193.0,256,511.844498
-176.0,256,512.109403
-190.0,256,512.146532
-243.0,256,512.296819
-0.007843259,5,512.447797
-185.0,256,512.44785
-0.9802742,11,512.498979
-221.0,256,512.610152
-0.017735397,10,512.81252
0.9802742,11,513.146289
-158.0,256,513.307299
-101.321075,139,513.354525
-161.0,256,513.432532
-170.0,256,513.603177
-0.98425096,9,513.866546
-188.0,256,513.96662
-231.0,256,514.270798
-178.0,256,514.345615
-207.0,256,514.422651
-14.081441,41,515.164028
-18.08357,42,515.508168
-207.0,256,515.508219
-152.0,256,515.703253
-0.96420306,19,515.783978
-218.0,256,515.82942
-220.0,256,515.995755
-183.0,256,515.995833
-193.0,256,516.096075
0.9822646,10,516.162581
-149.0,256,516.396032
-170.0,256,516.472781
-68.23709,108,516.556217
-187.0,256,516.60604
-69.33856,145,516.74207
-193.0,256,516.822778
-213.0,256,516.822848
-0.9901862,6,517.014208
-176.0,256,517.535525
-165.0,256,517.617647
0.9802742,11,517.878347
-224.0,256,518.031346
-198.0,256,518.0314
-165.0,256,518.110067
-0.97827977,12,518.270989
-199.0,256,518.476313
0.96217525,20,518.828384
-51.74739,114,519.062942
-140.49213,195,519.340111
0.99412334,4,519.472989
-82.576225,172,519.606394
-169.0,256,519.713551
-174.89175,254,519.763225
-84.29014,128,520.020068
-87.28465,126,520.368234
-166.0,256,520.419367
-200.0,256,520.467575
-167.0,256,520.572002
-25.08357,42,520.931147
-170.0,256,521.241799
0.99804497,2,521.319155
-197.0,256,521.36392
-173.0,256,521.75774
-79.79794,94,521.949542
-163.53648,202,522.026984
-181.0,256,522.279407
0.97827977,12,522.358895
-36.817295,86,522.434852
-118.36569,154,523.082657
-204.0,256,523.355578
-0.9762812,13,523.458413
-162.0,256,523.56474
-188.0,256,523.784536
-165.0,256,523.784586
-222.0,256,523.936239
-168.0,256,524.18322
-180.0,256,524.259725
-196.0,256,524.359086
-0.98425096,9,524.491426
-211.0,256,524.491497
-203.0,256,524.564839
-6.0378246,20,524.616075
0.99608606,3,524.723307
-174.0,256,524.8001
0.99804497,2,524.800151
-214.0,256,525.371249
-188.0,256,525.794441
-181.0,256,525.79451
-193.0,256,525.869117
-152.48814,196,526.501286
-122.0,256,526.597842
-153.625,221,527.094267
0.99412334,4,527.214397
-200.0,256,527.288228
-161.0,256,527.498323
-167.55367,206,527.546617
-35.84779,73,527.595003
-35.75,113,527.767351
-178.0,256,527.872056
0.9762812,13,527.980464
-153.0,256,528.293826
-159.0,256,528.337283
-35.147614,71,528.71785
-227.0,256,528.758959
-204.0,256,529.13222
-213.0,256,529.515579
-32.84085,76,529.611465
-93.576225,172,529.749495
-197.0,256,529.831755
-192.0,256,530.073611
-158.0,256,530.154835
-210.0,256,530.229036
-0.9901862,6,530.306541
-122.44099,177,531.203347
-135.60472,217,531.203422
-221.0,256,531.252549
-203.0,256,531.345772
-175.0,256,531.430058
-0.98623335,8,531.587525
-96.33268,143,531.67171
-192.0,256,531.719138
-184.0,256,531.719187
-0.9722718,15,532.136084
-174.0,256,532.236806
-102.6555,147,532.286591
-198.0,256,532.392141
-208.0,256,532.63244
-208.0,256,532.632512
-128.58073,212,533.106975
-168.0,256,533.574025
-177.0,256,533.642875
-165.0,256,535.15898
-189.0,256,535.192686
-173.0,256,535.405611
-190.0,256,535.50257
-126.35349,150,535.754723
-224.0,256,535.833488
-1.9762812,13,535.833551
-207.0,256,535.887555
0.98425096,9,536.134742
-204.0,256,536.333441
-208.0,256,536.377609
-183.0,256,536.757976
0.9722718,15,536.805035
-234.0,256,537.173903
-97.72349,123,537.17397
-197.0,256,537.274517
-20.092134,46,537.274565
-203.0,256,537.411818
-193.0,256,537.492122
-163.0,256,537.79422
-180.0,256,537.871131
-175.0,256,537.95422
-0.96217525,20,537.954267
-178.65767,227,538.017968
0.9822646,10,538.256532
-166.0,256,538.825885
-205.0,256,538.877995
-84.28465,126,539.10052
-165.0,256,539.230389
-0.02172026,12,539.263317
-187.0,256,539.309062
-183.0,256,539.362741
0.9802742,11,539.633555
-221.0,256,539.820352
-171.0,256,539.928544
-210.0,256,539.98028
-219.0,256,540.090116
-31.237091,108,540.19943
-156.0,256,540.360796
-194.0,256,540.360849
-171.0,256,540.872128
-184.0,256,541.414097
-74.77812,102,541.414173
-26.192322,90,542.567219
-81.79057,97,542.757057
-194.0,256,542.962454
-95.0,256,543.325707
-210.0,256,543.546523
-156.0,256,543.641739
-205.0,256,543.897801
-174.0,256,544.116023
-59.371883,156,544.45993
-180.0,256,544.566604
-133.534,184,544.841428
-237.0,256,544.973431
-194.0,256,544.973475
-205.0,256,545.075134
-199.0,256,545.208339
-149.0,256,545.284594
-0.96824586,17,545.525787
-192.0,256,545.591912
-171.0,256,545.663423
-164.0,256,545.74498
-186.0,256,545.825643
0.99215674,5,545.933744
-0.99804497,2,546.009829
0.96217525,20,546.293079
-165.0,256,546.713396
-178.0,256,546.93972
-0.9802742,11,547.036371
-198.0,256,547.085888
-47.870525,63,547.085961
-183.0,256,547.201391
-62.34748,148,547.409526
-174.0,256,547.484766
-193.0,256,547.865029
-223.0,256,547.961806
-186.0,256,548.123005
-177.0,256,548.123079
0.9802742,11,548.323247
-189.27951,237,548.65635
-158.0,256,548.656399
-161.0,256,549.214782
-37.79057,97,549.263347
-41.854675,70,549.37438
-1.9901862,6,549.476896
-148.64645,225,549.983749
-85.65848,146,550.413676
-197.0,256,550.500085
0.97427857,14,550.896524
-164.0,256,551.217149
-168.0,256,551.460845
-1.984251,9,551.508754
-171.0,256,551.573831
-202.0,256,551.792388
-186.0,256,552.001721
-0.94991773,26,552.270956
-174.0,256,552.347879
-87.33268,143,552.42298
-164.0,256,552.473031
-1.9782797,12,552.693303
-225.0,256,552.776187
-0.98425096,9,552.776263
-0.9722718,15,552.882683
-171.0,256,552.934369
-176.0,256,553.164342
-108.51993,198,553.164419
0.98425096,9,553.212178
-155.0,256,553.265563
-1.970261,16,553.37686
-138.0,256,553.547819
-0.97827977,12,553.625959
-191.0,256,553.705804
-1.9662266,18,553.827307
-187.0,256,553.82736
0.97827977,12,553.962499
0.9762812,13,554.21729
-194.0,256,554.847069
-176.0,256,554.982251
-168.0,256,554.982317
-149.0,256,555.284302
-160.0,256,555.360916
-184.0,256,555.75025
0.95197165,25,555.750317
-56.17794,84,555.829035
-211.0,256,556.018715
-0.97827977,12,556.151818
-151.0,256,556.232364
0.99608606,3,556.348698
-67.80526,91,556.600309
-185.0,256,556.600359
-176.0,256,556.60037
-108.38763,161,556.702675
-212.0,256,557.149946
-155.0,256,557.271502
-210.0,256,557.37377
-6.9662266,18,557.788562
-212.0,256,557.887893
-188.0,256,558.325746
-188.0,256,558.766682
-144.42389,211,559.318155
-163.0,256,559.318226
-0.99804497,2,559.4014
-181.0,256,559.660396
-208.0,256,559.877869
-0.96824586,17,560.186684
-160.0,256,560.294113
-136.44801,179,560.403647
-194.0,256,560.571896
-156.0,256,560.649731
-143.0,256,560.997321
-211.0,256,561.126612
-201.0,256,561.35158
-190.0,256,561.435937
-0.98425096,9,561.655571
-197.0,256,561.708681
-177.0,256,561.999191
-0.9822646,10,562.063119
-81.5625,176,562.063196
0.9662266,18,562.551558
-34.866024,65,562.667004
-181.0,256,562.71118
-1.9862334,8,562.960364
-151.0,256,563.141271
-204.0,256,563.2151
-215.0,256,563.622035
-167.0,256,563.703105
-172.0,256,563.883823
0.9540211,24,563.976464
-171.0,256,564.019986
-198.0,256,564.181993
-82.28193,125,564.289986
-144.0,256,564.452094
-192.0,256,564.452172
-203.0,256,564.452195
-45.23709,108,564.452208
-4.027728,15,564.533545
-0.0058766427,4,564.667139
-174.27951,237,564.719038
-0.98425096,9,564.800011
-0.9802742,11,564.876791
-170.0,256,565.109856
-114.37188,156,565.223139
-196.0,256,565.730609
-178.0,256,565.821744
-201.0,256,566.290217
-166.0,256,566.741812
-164.0,256,567.253128
-176.0,256,567.330649
-181.0,256,567.789093
-176.0,256,568.242026
-191.0,256,568.391018
-70.69316,134,568.596344
-2.9682457,17,568.912738
-181.0,256,568.95827
-0.00981378,6,569.127345
-186.0,256,569.229248
-221.0,256,569.432909
-125.45156,180,569.646802
-190.0,256,569.749866
-186.0,256,569.799247
-170.0,256,570.326514
-141.51588,197,570.326565
-193.0,256,570.46541
-178.0,256,570.741963
-22.9375,32,570.74203
0.97827977,12,570.85201
-173.0,256,570.946991
-191.25769,240,571.230072
-176.0,256,571.387201
-193.0,256,571.466942
-184.0,256,571.652779
0.96824586,17,571.792523
-183.0,256,571.937948
-177.0,256,572.165107
0.9662266,18,572.321362
-182.0,256,572.368645
-159.0,256,572.477068
-175.0,256,572.553046
-0.9802742,11,572.751378
-204.0,256,572.826362
-141.45927,203,572.961594
-178.0,256,572.96166
0.98425096,9,573.223877
-0.9722718,15,573.223926
-216.0,256,573.480114
-172.0,256,596.065317
-0.9822646,10,596.287681
-202.0,256,596.559172
-28.138496,67,596.788873
-0.95197165,25,597.064494
-0.9802742,11,597.143392
-105.592926,167,597.498911
-192.0,256,597.670368
-202.0,256,597.754563
-28.138496,67,598.157794
-0.9722718,15,598.208933
-164.0,256,598.264675
0.99608606,3,598.342799
-204.0,256,598.760762
-226.0,256,599.092919
-82.49225,191,599.213589
-101.41704,170,599.28781
-200.0,256,599.406892
-171.0,256,599.607578
-138.0,256,599.718167
-167.80235,247,599.875404
-0.9581069,22,599.920442
-219.0,256,599.966683
-173.66928,229,600.047322
-0.9702609,16,600.283219
-0.93958104,31,600.338434
-110.51539,189,600.438211
0.98821175,7,600.539334
-0.98821175,7,600.596344
-0.9802742,11,600.822262
-0.9802742,11,600.962097
-136.0,256,601.008975
-201.0,256,601.389769
-166.0,256,601.489465
-182.0,256,601.585726
-63.309666,135,601.96626
-141.0,256,602.011416
-0.96217525,20,602.09135
-194.0,256,602.285969
-162.30618,233,602.397556
-126.48007,198,602.860523
-179.0,256,602.966473
-139.0,256,603.130271
-152.0,256,603.343464
-161.0,256,603.463219
-0.9601432,21,603.562091
-157.0,256,603.745467
-109.0,256,603.745515
0.99412334,4,603.882417
0.9601432,21,604.352328
-91.731544,120,604.459197
-114.594955,215,604.966779
-192.0,256,605.038342
-189.0,256,605.116809
-141.6813,231,605.355373
-172.0,256,605.494233
0.99608606,3,605.601538
-175.0,256,606.143525
-69.22945,105,606.250932
-130.36877,155,606.625156
-215.0,256,606.625242
-175.54073,203,606.699759
-126.78349,245,606.984047
-154.0,256,607.030379
-32.859234,68,607.371872
-138.0,256,607.497187
-190.0,256,607.761236
-183.0,256,607.81353
-174.0,256,607.855988
-25.204504,95,607.910063
-166.0,256,607.966707
-0.9601432,21,608.135253
0.9662266,18,608.190517
-0.9802742,11,608.329771
-0.9762812,13,608.718926
-150.0,256,608.809554
-195.0,256,608.845454
-18.845484,74,609.016978
0.99804497,2,609.096899
-184.0,256,609.249205
-174.0,256,609.432599
-210.0,256,609.845005
-123.82323,249,609.896706
-110.0,256,609.944319
-54.216877,100,610.170432
-144.0,256,610.215793
-0.9762812,13,610.317514
-107.49608,194,610.394649
0.96217525,20,610.589108
-25.8125,88,610.691931
-184.0,256,610.774591
-194.0,256,611.263142
-169.0,256,611.390072
-117.0,256,611.492915
-154.0,256,611.795549
-63.768013,106,612.018975
-53.742146,116,612.407374
-184.0,256,612.407426
0.99215674,5,612.566181
-0.98425096,9,612.690603
-45.81968,85,612.870267
-206.0,256,613.031775
-173.0,256,613.109833
-115.42718,173,613.552039
-120.0,256,613.552111
-0.99412334,4,613.688263
-0.98821175,7,613.794384
0.9762812,13,614.090575
-199.0,256,614.193479
-136.0,256,614.304825
-63.326855,141,614.603043
-145.0,256,614.701309
-195.0,256,614.776025
-125.0,256,615.053175
0.9802742,11,615.133445
-128.49608,194,615.184663
0.9802742,11,615.501583
-0.023718791,13,615.535573
-129.38017,220,615.705526
-0.99608606,3,615.804926
-162.0,256,615.886565
-173.0,256,615.937661
-161.0,256,616.034084
-169.0,256,616.187541
-96.52814,200,616.866725
-196.0,256,617.145333
-21.852386,71,617.193398
-38.0,89,617.331623
-125.51588,197,617.379235
-149.0,256,617.379285
-145.0,256,617.811034
-153.83464,250,618.038901
-200.0,256,618.275215
-178.0,256,618.446501
-187.0,256,618.599315
0.9822646,10,618.760357
-0.9601432,21,618.921526
-184.0,256,619.255346
-193.0,256,619.366779
-117.375,157,619.50401
-158.0,256,619.693679
0.9762812,13,619.800961
-66.29289,129,619.801012
-165.0,256,619.929219
0.97427857,14,620.136128
0.9722718,15,620.278333
-19.102957,51,620.420703
-27.072975,37,620.496629
-182.0,256,620.55039
-0.9802742,11,620.687172
-175.0,256,620.687249
-231.0,256,620.868817
-176.0,256,621.02873
-191.0,256,621.105673
0.9121575,44,621.270492
-29.09429,47,621.689772
-69.73951,117,621.800206
-195.0,256,621.800277
0.97827977,12,622.069362
-110.0,256,622.116932
-168.0,256,622.21209
-136.0,256,622.303919
-1.9862334,8,622.370509
-18.136232,66,623.088377
-184.0,256,623.391931
-199.0,256,623.446559
-0.003913909,3,623.557173
0.99412334,4,623.678984
-138.0,256,623.738317
-0.023718791,13,623.828885
-166.0,256,623.828944
-162.0,256,623.926594
-11.050082,26,623.926645
-180.0,256,624.097174
-106.60471,217,624.171818
-62.770554,105,624.478986
-169.0,256,624.824241
-136.23386,243,624.929582
-153.0,256,625.143781
-128.0,256,625.185219
-123.64952,149,625.295151
-95.0,256,625.345095
0.9822646,10,625.626304
-190.0,256,625.857201
0.9802742,11,626.188182
-55.18032,85,626.349016
-26.079317,40,626.484381
0.98425096,9,626.653898
-54.681793,138,626.65395
-16.096449,48,626.733957
-169.0,256,626.734003
0.99215674,5,626.85096
-38.1875,88,626.987781
-195.0,256,627.098723
-104.55199,179,627.438988
-131.75793,242,627.639978
-152.0,256,627.690961
-3.0562706,29,627.737579
-0.98623335,8,627.967381
0.9802742,11,628.051361
0.9802742,11,628.373696
-173.0,256,628.577298
-150.0,256,628.655709
-188.0,256,628.7083
-190.0,256,628.847953
-193.0,256,629.047317
-6.927025,37,629.174647
-147.0,256,629.205774
-58.805256,91,629.511795
-124.6875,232,629.709006
-168.0,256,629.94568
-0.98425096,9,629.987225
-36.20943,97,630.038956
-136.0,256,630.256414
-95.0,256,630.381453
-0.9901862,6,630.442249
-62.247402,112,630.6178
-0.9722718,15,630.836507
-132.25769,240,631.680398
-76.224396,103,631.798812
-206.0,256,631.847122
-175.0,256,631.956543
-144.5625,208,631.956591
-135.0,256,631.956604
0.99804497,2,632.033616
-153.0,256,632.095201
-188.0,256,632.095269
-136.27243,238,632.09529
-0.98821175,7,632.231258
-141.0,256,632.945137
-185.0,256,633.051478
-156.0,256,633.62301
-200.0,256,634.125168
-88.65848,146,634.275018
-164.0,256,634.560614
-139.0,256,634.621156
0.9762812,13,634.657131
-75.49611,192,634.780322
-125.0,256,634.945139
-202.0,256,635.271987
-121.0,256,635.518124
-0.98623335,8,635.765612
-150.0,256,636.095067
-101.0,256,636.305642
-163.0,256,636.4145
-1.1007816,50,636.46241
-181.0,256,636.573756
-0.025721421,14,636.786346
0.9762812,13,636.860628
-160.0,256,636.915243
-139.0,256,636.964149
-144.0,256,637.25191
-1.9662266,18,637.461272
-210.0,256,637.697702
-211.0,256,637.752945
-0.9662266,18,638.034374
-1.9782797,12,638.144186
-176.0,256,638.195549
0.98425096,9,638.371543
-206.0,256,638.422587
-136.58073,212,638.501689
-171.0,256,638.655259
0.98425096,9,638.771474
0.9762812,13,638.813944
-2.0439339,23,639.449536
-151.0,256,639.589023
-89.38763,161,639.658215
-184.0,256,639.73292
-182.0,256,639.778212
-203.0,256,639.926634
-126.0,256,639.982395
-146.0,256,639.982455
-170.0,256,639.982474
-184.0,256,640.117379
-0.9762812,13,640.209222
-92.5796,171,640.24657
-0.98623335,8,640.246618
-3.0357969,19,640.321862
-6.960143,21,640.458828
-1.9682459,17,640.567501
-20.125,61,640.799567
-181.0,256,640.981064
-178.0,256,641.078981
0.9702609,16,641.079046
-17.886091,56,641.401237
-150.0,256,641.648985
-25.105137,52,641.871027
-159.0,256,642.163399
-132.19765,247,642.396136
-123.54499,204,642.551563
-201.0,256,642.644994
-55.206963,96,642.874329
-127.51588,197,642.97105
0.99412334,4,643.01739
-205.0,256,643.280015
-125.41704,170,643.450535
-89.239655,109,643.526763
-165.0,256,643.76754
0.99412334,4,643.890593
-156.0,256,644.401582
-141.0,256,644.504668
-177.0,256,644.768226
-136.0,256,644.842817
-79.61872,159,645.001552
-0.98623335,8,645.052638
-200.0,256,645.185477
-145.0,256,645.558671
-158.0,256,645.92059
0.9722718,15,645.985846
-146.0,256,646.141021
-72.22188,102,646.273859
-212.0,256,646.376565
-16.109512,54,646.453064
-41.88609,56,646.702987
0.97427857,14,646.898176
-91.329765,142,647.216924
-186.0,256,647.216972
-121.0,256,647.61589
-174.0,256,647.778229
-195.0,256,647.874727
0.9901862,6,648.066278
-144.0,256,648.104004
-179.66928,229,648.224571
0.98821175,7,648.314537
-189.0,256,648.4066
-0.017735397,10,648.544226
0.9722718,15,648.54427
-164.0,256,648.608341
-131.29974,234,648.687365
-167.0,256,648.738897
-185.0,256,648.738945
-134.59981,216,648.974736
-38.14991,72,649.473736
-152.10825,254,649.575804
-0.99215674,5,649.655948
-1.9901862,6,649.77892
-226.0,256,649.963795
-170.0,256,650.326264
-191.0,256,650.410625
-44.810093,89,650.554551
-12.88609,56,650.661063
-195.0,256,650.799891
-154.0,256,651.214109
-187.0,256,651.289965
-77.433014,209,651.402782
-204.0,256,651.680506
-3.0500822,26,652.022268
-169.0,256,652.229892
-6.039857,21,652.309578
-187.0,256,652.368072
-0.99412334,4,652.474468
-167.50787,195,652.746116
-154.0,256,653.011227
-0.9662266,18,653.302481
-175.0,256,653.840797
-123.0,256,653.912371
-192.0,256,654.072028
-146.0,256,654.215234
-189.0,256,654.329108
-0.99215674,5,654.411139
0.9802742,11,654.754877
-170.0,256,654.850271
-164.0,256,655.170852
-195.0,256,655.592037
-121.59948,165,655.69287
-133.0,256,656.202152
-136.0,256,656.297157
-100.46236,183,656.401222
-173.0,256,656.451817
-171.0,256,656.451861
-211.0,256,656.517359
-139.89175,254,656.568043
0.9802742,11,656.62046
-176.0,256,656.620531
-196.0,256,656.671633
0.98821175,7,656.810198
-111.526634,186,657.191048
-0.007843259,5,657.354699
-186.0,256,657.577732
-172.0,256,657.69724
-128.0,256,657.863614
-8.888292,55,658.134509
-209.0,256,658.2403
-184.0,256,658.344141
-149.0,256,658.589657
-95.36976,222,659.181957
-171.0,256,659.182018
-21.931229,35,681.236181
-141.0,256,681.546056
-91.384445,160,681.685361
-140.0,256,681.798189
-198.0,256,681.983809
-12.924915,38,682.031869
